"logit_1_0";"X_INDEX";"Y_INDEX"
0;242500;4408500
0;182500;4661500
0;392500;4797500
0;148500;4187500
0;273500;4296500
0;128500;4663500
0;215500;4682500
0;284500;4797500
0;231500;4779500
0;112500;4705500
0;231500;4230500
0;257500;4397500
0;175500;4418500
0;196500;4702500
0;543500;4756500
0;195500;4660500
0;9500;4735500
0;421500;4266500
0;634500;4220500
0;265500;4810500
0;82500;4724500
0;160500;4774500
0;457500;4088500
0;281500;4776500
0;410500;4783500
0;289500;4784500
0;441500;4805500
0;303500;4748500
0;395500;4282500
0;472500;4782500
0;162500;4767500
0;9500;4733500
0;266500;4828500
0;233500;4736500
0;840500;4725500
0;206500;4793500
0;152500;4378500
0;198500;4778500
0;211500;4411500
0;196500;4671500
0;171500;4445500
0;870500;4679500
0;584500;4771500
0;153500;4179500
0;909500;4580500
0;541500;4762500
0;253500;4827500
0;155500;4271500
0;191500;4245500
0;296500;4346500
0;675500;4623500
0;189500;4770500
0;819500;4542500
0;176500;4804500
0;188500;4771500
0;223500;4226500
0;239500;4776500
0;181500;4731500
0;238500;4820500
0;550500;4715500
0;197500;4826500
0;156500;4165500
0;189500;4771500
0;397500;4486500
0;229500;4754500
0;568500;4766500
0;229500;4695500
0;204500;4764500
0;284500;4787500
0;260500;4727500
0;475500;4661500
0;274500;4811500
0;196500;4672500
0;194500;4379500
0;258500;4432500
0;434500;4752500
0;491500;4795500
0;224500;4795500
0;255500;4825500
0;192500;4788500
0;808500;4667500
0;198500;4687500
0;281500;4417500
0;194500;4663500
0;230500;4745500
0;275500;4440500
0;215500;4806500
0;232500;4791500
0;182500;4679500
0;305500;4093500
0;207500;4471500
0;327500;4450500
0;407500;4791500
0;229500;4663500
0;305500;4244500
0;166500;4331500
0;232500;4665500
0;141500;4711500
0;225500;4791500
0;850500;4681500
0;438500;4794500
0;264500;4823500
0;171500;4722500
0;144500;4691500
0;183500;4376500
0;293500;4790500
0;225500;4720500
0;197500;4659500
0;179500;4169500
0;243500;4678500
0;295500;4195500
0;674500;4232500
0;467500;4734500
0;274500;3993500
0;600500;4616500
0;362500;4796500
0;289500;4231500
0;586500;4404500
0;298500;4364500
0;204500;4763500
0;408500;4754500
